atmId,atmName,atmCity,atmAddress,totalBalance,numberIncomeTransaction,numberOutcomeTransaction,totalIncome,totalOutcome,totalNumberTransaction,day,transactionTime
atm350000,ALİAĞA BAĞLI ŞB,Izmir,Aliağa Petkim Tesisleri,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350001,ALİAĞA İSTİKLAL CADDESİ,Izmir,ATATÜRK İSTİKLAL CD. NO:97,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350002,ALİAĞA PAZARYERİ,Izmir,ALİAĞA KAPALI PAZAR GİRİŞİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350003,ALİAĞA SAHİL PARKI,Izmir,ALİAĞA HİKMET CD.SAHİL PARKI ÖNÜ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350004,ALİAĞA ŞUBE-1,Izmir,İstiklal Caddesi No: 64 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350005,ALİAĞA ŞUBE-2,Izmir,İstiklal Caddesi No: 64 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350006,ALİAĞA ŞUBE-3,Izmir,ALİAĞA PETKİM TESİSLERİ 35801,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350007,ALİAĞA TELEKOM,Izmir,KAZIM DİRİK MAHALLESİ PTT - ALİAĞA ŞB.,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350008,STAR RAFİNERİ ALİAĞA,Izmir,ATATÜRK AYGAZ CD. 42-1,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm350009,VİKİNG KAĞIT ALİAĞA,Izmir,HÜRRİYET CAD.NO:474 ALİAĞA,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500010,AGORA AVM/BALÇOVA,Izmir,MİTHATPAŞA CAD.NO:1448/A BALÇOVA,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500011,ATA CADDESİ/İZMİR,Izmir,ATA CAD.BELEDİYE CİVARI,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500012,BALÇOVA NOVADA-1,Izmir,AYDIN ÇEŞME OTOYOLU LİMONTEPE MEVKİİ PETROL OFİSİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500013,BALÇOVA SAKARYA CADDESİ,Izmir,FEVZİ ÇAKMAK MH.SAKARYA CD.NO:58/B,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500014,BALÇOVA ŞUBE-1,Izmir,Ata Caddesi No: 2-2 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500015,BALÇOVA ŞUBE-2,Izmir,Ata Caddesi No: 2-2 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500016,KİPA BALÇOVA-1,Izmir,MİTHATPAŞA CAD. NO:1462,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500017,KİPA BALÇOVA-2,Izmir,MİTHATPAŞA CD.NO:1462 KİPA AVM,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500018,ÖZDİLEK BALÇOVA,Izmir,ÖZDİLEK BALÇOVA AVM,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500019,BAYINDIR BELEDİYESİ,Izmir,MİTHATPAŞA MAHALLESİ ATATÜRK CD. NO:32,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500020,BAYRAKLI 1916 SOKAK,Izmir,BAYRAKLI MAHALLESİ CEYLAN APT.,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500021,BAYRAKLI ÇAY MAHALLESİ,Izmir,BAYRAKLI HAKAN UYSAL CADDESİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500022,BAYRAKLI İZBAN METRO İST.,Izmir,İZMİR BAYRAKLI METRO İSTASYON,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500023,BAYRAKLI ŞUBE-1,Izmir,Ord. Prof. Dr. Ekrem Akurgal Caddesi No: 18 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500024,BAYRAKLI ŞUBE-2,Izmir,Ord. Prof. Dr. Ekrem Akurgal Caddesi No: 18 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500025,BAYRAKLI ŞUBE-3,Izmir,Ord. Prof. Dr. Ekrem Akurgal Caddesi No: 18 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500026,BAYRAKLI YAMANLAR MAH.,Izmir,YAMANLAR MAHALLESİ KUBİLAY CD. 271 B,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500027,GÜMÜŞPALA BAYRAKLI/İZMİR,Izmir,GÜMÜŞPALA/İZMİR,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500028,MANAVKUYU SAKARYA CAD.,Izmir,MANAVKUYU SAKARYA CD.NO:52,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500029,MANAVKUYU ŞUBE-1,Izmir,Çınarlı Mahallesi İslam Kerimov Caddesi No: 18,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500030,MANAVKUYU ŞUBE-2,Izmir,ÇINARLI MAHALLESİ İSLAM KERİMOV CADDESİ NO: 18,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500031,OSMANGAZİ YAVUZ CADDESİ,Izmir,OSMANGAZİ YAVUZ CADDESİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500032,ÖZKANLAR ŞUBE-1,Izmir,MUSTAFA KEMAL CADDESİ NO: 150,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500033,ÖZKANLAR ŞUBE-3,Izmir,Mustafa Kemal Caddesi No: 150,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500034,ÖZKANLAR ŞUBE-4,Izmir,Mustafa Kemal Caddesi No: 150,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500035,WESTPARK OUTLET CENTER,Izmir,"R. ŞEVKET İNCE MAH.2148/9 SOKAK NO:4,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500036,BERGAMA ATATÜRK BULVARI,Izmir,MALTEPE MH.ATATÜRK BUL.BERGAMA,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500037,BERGAMA İNKİLAP MAHALLESİ,Izmir,BARBAROS BANKALAR CD. 32/A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500038,BERGAMA MEYDAN,Izmir,CUMHURİYET CAD.NO:67,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500039,BERGAMA ŞUBE-1,Izmir,Ertuğrul Mahallesi Kaymakam Kemal Bey Caddesi No: 4 A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500040,BERGAMA ŞUBE-2,Izmir,Ertuğrul Mahallesi Kaymakam Kemal Bey Caddesi No: 4 A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500041,2.SANAYİ SİTESİ ŞB-1,Izmir,Kazımdirik Mahallesi 351 Sokak No: 3 B,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500042,2.SANAYİ SİTESİ ŞB-2,Izmir,Kazımdirik Mahallesi 351 Sokak No: 3 B,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500043,4.SANAYİ SİTESİ ŞUBE-1,Izmir,4. Sanayi Sitesi 129. Sokak No: 1 / C,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500044,4.SANAYİ SİTESİ ŞUBE-2,Izmir,4. Sanayi Sitesi 129. Sokak No: 1 / C,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500045,ALTINDAĞ ŞUBE-1,Izmir,Kemalpaşa Caddesi No: 56 Altındağ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500046,ALTINDAĞ ŞUBE-2,Izmir,Kemalpaşa Caddesi No: 56 Altındağ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500047,BAYRAKLI FOLKART TOWERS,Izmir,BAYRAKLI ADALET MH.MANAS BUL.NO:47 BAYRAKLI,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500048,BOLİVA BORNOVA,Izmir,İST CD.NO:4 ERZENE MH.BORNOVA,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500049,BORNOVA EVKA-4,Izmir,BORNOVA EVKA-4 SİTESİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500050,BORNOVA KAMİL TUNCA CAD.,Izmir,BORNOVA KAMİL TUNCA CD.,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500051,BORNOVA KAZIM K.BEKİR CAD,Izmir,ERZENE MAH.KAZIM KARABEKİR CAD.NO:46/B,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500052,BORNOVA KİPA,Izmir,KİPA ALIŞVERİŞ MERKEZİ NO:180,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500053,BORNOVA MERKEZ MİGROS,Izmir,GENÇLİK CAD.80.SOK.NO:16,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500054,BORNOVA METRO,Izmir,NO: KAZIMDİRİK MAHALLESİ ANKARA CD. YANYOLU,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500055,BORNOVA MUSTAFA KEMAL CAD,Izmir,BORNOVA MUSTAFA KEMAL CAD.,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500056,BORNOVA MYVİA AVM ÖNÜ,Izmir,KAZIMDİRİK MAHALLESİ SANAYİ CADDESİ NO:31 Z:6 MYVİA 414,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500057,BORNOVA ŞUBE-1,Izmir,Erzene Mahallesi 2 Sokak No: 7 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500058,BORNOVA ŞUBE-2,Izmir,Erzene Mahallesi 2 Sokak No: 7 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500059,BORNOVA ŞUBE-3,Izmir,Erzene Mahallesi 2 Sokak No: 7 / A,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500060,ÇAMDİBİ/BORNOVA,Izmir,ÇAMDİBİ KATLI PAZARYERİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500061,ÇAMDİBİ/İZMİR,Izmir,"ÇAMDİBİ MAHALLESİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500062,ÇAMDİBİ BURAK REİS CD.,Izmir,ÇAMDİBİ BURAK REİS CADDESİ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500063,ÇAMDİBİ PAZARYERİ 2.ATM,Izmir,YEŞİLOVA ÇAMDİBİ PAZARYERİ - 2,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
atm3500064,ÇİMENTAŞ,Izmir,PINARBAŞI ÇİMENTAŞ FAB.ÖNÜ,40000,0,0,0,0,0,Wednesday,2020-01-01 00:00:00
