atmId,atmName,atmCity,atmAddress,totalBalance,numberIncomeTransaction,numberOutcomeTransaction,totalIncome,totalOutcome,totalNumberTransaction,day,transactionTime
atm350000,ali̇ağa bağli şb,izmir,aliağa petkim tesisleri,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350001,ali̇ağa i̇sti̇klal caddesi̇,izmir,atatürk i̇sti̇klal cd. no:97,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500010,agora avm/balçova,izmir,mi̇thatpaşa cad.no:1448/a balçova,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500011,ata caddesi̇/i̇zmi̇r,izmir,ata cad.beledi̇ye ci̇vari,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500012,balçova novada-1,izmir,aydin çeşme otoyolu li̇montepe mevki̇i̇ petrol ofi̇si̇,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500013,balçova sakarya caddesi̇,izmir,fevzi̇ çakmak mh.sakarya cd.no:58/b,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500014,balçova şube-1,izmir,ata caddesi no: 2-2 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500015,balçova şube-2,izmir,ata caddesi no: 2-2 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500016,ki̇pa balçova-1,izmir,mi̇thatpaşa cad. no:1462,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500017,ki̇pa balçova-2,izmir,mi̇thatpaşa cd.no:1462 ki̇pa avm,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500018,özdi̇lek balçova,izmir,özdi̇lek balçova avm,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500019,bayindir beledi̇yesi̇,izmir,mi̇thatpaşa mahallesi̇ atatürk cd. no:32,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350002,ali̇ağa pazaryeri̇,izmir,ali̇ağa kapali pazar gi̇ri̇şi̇,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500020,bayrakli 1916 sokak,izmir,bayrakli mahallesi̇ ceylan apt.,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500021,bayrakli çay mahallesi̇,izmir,bayrakli hakan uysal caddesi̇,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500022,bayrakli i̇zban metro i̇st.,izmir,i̇zmi̇r bayrakli metro i̇stasyon,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500023,bayrakli şube-1,izmir,ord. prof. dr. ekrem akurgal caddesi no: 18 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000230,mavi̇şehi̇r şube-1,izmir,yalı mahallesi caher dudayev bulvarı no:70 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000231,mavi̇şehi̇r şube-2,izmir,yalı mahallesi caher dudayev bulvarı no:70 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000232,mi̇gros mmm bostanli,izmir,bostanli mahallesi̇ 1787/1. sk. no:16,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000233,nergi̇z metro dükkan,izmir,nergi̇z mah.1671 sokak no:168/b,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000234,soyak yali mahallesi̇,izmir,yali mah. 6523. sok. parkyaşam ti̇caret avm no: 32/a-b,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000235,şemi̇kler/karşiyaka,izmir,yali mah.6418 sok.şemi̇kler,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000236,şemi̇kler erdoğan akkaya c,izmir,şemi̇kler çarşi erdoğan akkaya sk.,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000237,şemi̇kler meydan,izmir,şemi̇kler meydani 1671 sk.378/b,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000238,yeni̇ gi̇rne/karşiyaka şb-1,izmir,örnekköy mahallesi girne bulvarı no: 263 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000239,yeni̇ gi̇rne/karşiyaka şb-2,izmir,örnekköy mahallesi girne bulvarı no: 263 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500024,bayrakli şube-2,izmir,ord. prof. dr. ekrem akurgal caddesi no: 18 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000240,banvi̇t kemalpaşa,izmir,mehmet aki̇f ersoy mahallesi̇ 217. sk. no:7,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000241,kemalpaşa i̇nönü caddesi̇,izmir,kemalpaşa i̇nönü cad.merkez,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000242,kemalpaşa şube-1,izmir,atatürk mahallesi i̇zmir caddesi no: 13 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000243,kemalpaşa şube-2,izmir,atatürk mahallesi i̇zmir caddesi no: 13 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000244,kemalpaşa telekom,izmir,soğukpinar mahallesi̇ beledi̇ye cd. 29 c,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000245,pepsi̇ kemalpaşa,izmir,kemalpaşa asfalti no:57 kemalpaşa,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000246,pinar et/kemalpaşa,izmir,ankara asfalti 25 km kemalpaşa,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000247,kinik,izmir,aşaği mah.cumhuri̇yet cad. no:7,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000248,ödemi̇ş ki̇raz,izmir,ki̇raz meydan,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000249,1.sanayi̇ si̇tesi̇ şb,izmir,2822. sokak no: 91 1.sanayii sitesi,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500025,bayrakli şube-3,izmir,ord. prof. dr. ekrem akurgal caddesi no: 18 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000250,alsancak i̇zban metro,izmir,alsancak metro i̇stasyonu,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000251,alsancak li̇man şube-1,izmir,atatürk caddesi̇ no: 386 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000252,alsancak li̇man şube-2,izmir,alsancak mahallesi atatürk caddesi no: 432,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000253,alsancak mi̇gros,izmir,talatpaşa bulvari no:59/a alsancak,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000254,alsancak şube-1,izmir,kültür mahallesi dr. mustafa enver bey caddesi no: 22 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000255,alsancak şube-2,izmir,kültür mahallesi dr. mustafa enver bey caddesi no: 22 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000256,atilla mah.inonu cad.,izmir,ati̇lla mahallesi̇ i̇nönü cd. 39 a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000257,basmane-1,izmir,fevzi̇ paşa bulv.i̇kbal i̇ş merk.no:151,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000258,basmane şube-1-,izmir,i̇smet kaptan mahallesi fevzipaşa bulvarı no:123,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000259,basmane şube-2-,izmir,i̇smet kaptan mahallesi fevzipaşa bulvarı no:123,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500026,bayrakli yamanlar mah.,izmir,yamanlar mahallesi̇ kubi̇lay cd. 271 b,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000260,buca doğuş caddesi̇,izmir,dokuz eylül üni̇versi̇tesi̇ tinaztepe yerleşkesi̇ karşisi doğuş caddesi̇,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000261,çankaya mi̇gros i̇zmi̇r,izmir,i̇ki̇çeşmeli̇k cad. çok katli otopark alti,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000262,egepol hastanesi̇,izmir,egepol hastanesi̇ önü,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000263,eşrefpaşa cad.dükkan,izmir,eşrefpaşa cd.no:289 konak,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500027,gümüşpala bayrakli/i̇zmi̇r,izmir,gümüşpala/i̇zmi̇r,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500028,manavkuyu sakarya cad.,izmir,manavkuyu sakarya cd.no:52,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500029,manavkuyu şube-1,izmir,çınarlı mahallesi i̇slam kerimov caddesi no: 18,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350003,ali̇ağa sahi̇l parki,izmir,ali̇ağa hi̇kmet cd.sahi̇l parki önü,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500030,manavkuyu şube-2,izmir,çinarli mahallesi̇ i̇slam keri̇mov caddesi̇ no: 18,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500031,osmangazi̇ yavuz caddesi̇,izmir,osmangazi̇ yavuz caddesi̇,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500032,özkanlar şube-1,izmir,mustafa kemal caddesi̇ no: 150,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500033,özkanlar şube-3,izmir,mustafa kemal caddesi no: 150,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500034,özkanlar şube-4,izmir,mustafa kemal caddesi no: 150,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350004,ali̇ağa şube-1,izmir,i̇stiklal caddesi no: 64 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350005,ali̇ağa şube-2,izmir,i̇stiklal caddesi no: 64 / a,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350006,ali̇ağa şube-3,izmir,ali̇ağa petki̇m tesi̇sleri̇ 35801,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500062,çamdi̇bi̇ burak rei̇s cd.,izmir,çamdi̇bi̇ burak rei̇s caddesi̇,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500063,çamdi̇bi̇ pazaryeri̇ 2.atm,izmir,yeşi̇lova çamdi̇bi̇ pazaryeri̇ - 2,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm3500064,çi̇mentaş,izmir,pinarbaşi çi̇mentaş fab.önü,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350007,ali̇ağa telekom,izmir,kazim di̇ri̇k mahallesi̇ ptt - ali̇ağa şb.,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350008,star rafi̇neri̇ ali̇ağa,izmir,atatürk aygaz cd. 42-1,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm350009,vi̇ki̇ng kağit ali̇ağa,izmir,hürri̇yet cad.no:474 ali̇ağa,40000,0,0,0,0,0,wednesday,2020-01-01 00:00:00
atm35000100,buca şube-1,izmir,çevik bir meydanı 255. sokak no: 3 / a,40940,16,3,1095,155,19,wednesday,2020-01-01 01:00:00
atm35000101,buca şube-2,izmir,çevik bir meydanı 255. sokak no: 3 / a,41110,18,0,1110,0,18,wednesday,2020-01-01 01:00:00
atm35000102,evka-1 mi̇gros,izmir,ali̇ şi̇r nevai̇ cad. no:2 evka-1,39830,0,6,0,170,6,wednesday,2020-01-01 01:00:00
atm35000103,gedi̇z mah./buca şube-1,izmir,mustafa kemal mahallesi gazeteci yazar i̇smail sivri bulvarı no: 369 / a,39140,11,20,715,1575,31,wednesday,2020-01-01 01:00:00
atm35000104,gedi̇z mah./buca şube-2,izmir,mustafa kemal mahallesi gazeteci yazar i̇smail sivri bulvarı no: 369 / a,38805,4,16,325,1520,20,wednesday,2020-01-01 01:00:00
atm35000105,göksu mh.637/4 sk.,izmir,göksu mah. 637/4 sk.,40645,14,9,1090,445,23,wednesday,2020-01-01 01:00:00
atm35000106,mi̇gros mmm buca koop.,izmir,kuruçeşme mahallesi̇ ahmet pi̇ri̇şti̇na blv no:16,40225,9,5,545,320,14,wednesday,2020-01-01 01:00:00
atm35000107,otokent buca mah.,izmir,i̇nönü mah.otokent,40615,9,11,1080,465,20,wednesday,2020-01-01 01:00:00
atm35000108,şi̇ri̇nyer i̇zban metro,izmir,buca şi̇ri̇nyer metro i̇stasyonu,40520,12,3,775,255,15,wednesday,2020-01-01 01:00:00
